51,179,23
52,361,22
50,260,23
51,179,23
50,260,28
51,179,23
29,235,28
50,260,23
50,260,22
25,248,23
51,179,23
50,260,23
51,179,23
26,225,23
52,361,23
50,260,28
26,225,13
50,260,28
50,260,26
50,260,28
10,118,27
25,246,19
26,225,23
26,225,27
10,118,27
42,184,23
50,260,28
36,289,22
50,260,13
50,260,28
26,225,23
26,225,28
26,225,28
50,260,28
31,291,23
31,291,28
25,248,28
50,260,19
52,361,22
11,235,13
51,179,11
10,118,26
12,155,25
36,289,19
27,157,19
50,260,28
51,179,23
31,291,28
50,260,28
31,291,28
36,289,22
13,118,0
25,248,0
50,260,28
20,235,0
50,260,28
25,246,13
49,378,0
50,260,28
51,179,28
51,179,28
51,179,28
36,289,22
50,260,28
51,179,23
51,179,27
51,179,27
51,179,27
25,246,28
50,260,28
13,118,23
51,179,28
36,289,22
50,260,28
16,330,26
26,300,28
50,260,28
50,260,28
16,330,13
50,260,28
51,179,0
25,246,28
50,260,13
16,330,25
10,118,26
13,118,23
52,361,22
26,179,23
25,248,23
25,246,26
31,291,23
51,179,28
26,225,23
26,225,23
17,369,26
26,179,13
26,225,23
20,235,26
22,179,25
51,179,27
15,225,28
51,179,27
22,179,23
51,179,27
51,179,27
16,235,25
26,179,27
26,179,27
26,179,23
51,179,27
26,179,27
11,235,22
26,179,27
26,179,27
26,179,27
26,300,19
15,225,22
26,179,27
26,179,27
22,179,25
10,118,26
51,233,19
26,179,27
51,233,19
45,179,0
