life_expectancy, child_mortality, country_group
29.22,3363.02,Sub-Saharan Africa
36.53,1104.47,Sub-Saharan Africa
46.82,825.25,Sub-Saharan Africa
32.89,515.71,Sub-Saharan Africa
38.42,322.23,Sub-Saharan Africa
37.85,1117.97,Sub-Saharan Africa
47.32,579.93,Sub-Saharan Africa
37.39,1127.84,Sub-Saharan Africa
40.1,1052.1,Sub-Saharan Africa
38.46,665.38,Sub-Saharan Africa
41.21,2045.71,Sub-Saharan Africa
36.64,1344.43,Sub-Saharan Africa
33.88,354.77,Sub-Saharan Africa
35.08,321.62,Sub-Saharan Africa
33.3,354.09,Sub-Saharan Africa
35.97,4041.34,Sub-Saharan Africa
42.81,943.1,Sub-Saharan Africa
34.62,481,Sub-Saharan Africa
31.97,375.95,Sub-Saharan Africa
41.57,832.27,Sub-Saharan Africa
41.01,282.95,Sub-Saharan Africa
35.89,553.44,Sub-Saharan Africa
35.75,1383.73,Sub-Saharan Africa
35.96,352.47,Sub-Saharan Africa
35.3,437.95,Sub-Saharan Africa
41.32,702.93,Sub-Saharan Africa
46.86,1937.84,Sub-Saharan Africa
30.28,450.75,Sub-Saharan Africa
40.25,2388.81,Sub-Saharan Africa
37.1,732.21,Sub-Saharan Africa
35.59,974.02,Sub-Saharan Africa
51.83,2637.69,Sub-Saharan Africa
39.41,470.31,Sub-Saharan Africa
45.62,883.72,Sub-Saharan Africa
37.87,1401,Sub-Saharan Africa
31.71,828.88,Sub-Saharan Africa
32.18,1079.21,Sub-Saharan Africa
43.55,4575.12,Sub-Saharan Africa
41.06,1551.84,Sub-Saharan Africa
40.5,1102.4,Sub-Saharan Africa
40.39,654.21,Sub-Saharan Africa
40.13,832.05,Sub-Saharan Africa
39,759.88,Sub-Saharan Africa
41.22,1060.84,Sub-Saharan Africa
47.65,393.7,Sub-Saharan Africa
28.21,757.32,South Asia
36.75,673,South Asia
36.04,683.5,South Asia
36.8,580,South Asia
37.63,457.04,South Asia
35.6,523.98,South Asia
45.63,739,South Asia
51.36,1033.5,South Asia
42.02,2429.21,Middle East & North Africa
49.84,9158.27,Middle East & North Africa
33.76,2576.1,Middle East & North Africa
40.04,3341.89,Middle East & North Africa
64.17,3800.93,Middle East & North Africa
42.12,1490.67,Middle East & North Africa
54.28,5318.45,Middle East & North Africa
41.69,2084.28,Middle East & North Africa
41.85,1683.1,Middle East & North Africa
