workerId,age,gender,degree,screenSize,familiar,comment,code,endTime
A10HQR5CL7D55V,25-39,Male,Bachelors,15,6,,638V95q0,2021/9/3 2:21
A11JO1EDDHYMTU,40-49,Male,Masters,13,2,good,8Ya07E36,2021/9/3 21:40
A12FTSX85NQ8N9,25-39,Male,Bachelors,13,4,I dont think so,Y2Z9VBf3,2021/9/3 0:08
A18IBIG55GUNMH,40-49,Male,Bachelors,15,4,Good,4S38975i,2021/9/2 21:36
A1FS8SBR4SDWYG,25-39,Female,Masters,15,6,,0518o6I7,2021/9/3 2:37
A1I72NHC21347A,50-59,Female,High School,15,1,,IX5wD380,2021/9/2 21:56
A1MIKI8R1U6XTW,40-49,Male,Masters,21,5,good,T8au0dcV,2021/9/2 22:01
A1NLJ1L4VCQYV2,25-39,Male,High School,23 or larger,1,It took some time to adjust to the speed of the trials but I assure you I did the best I could.,4Oc36189,2021/9/2 16:44
A1Q56N80RJLQ7S,25-39,Male,Bachelors,23 or larger,7,Thank you for allowing me to participate in the study.,5S93648j,2021/9/2 20:39
A24PRZS7ANKGO3,50-59,Female,Bachelors,17,7,interesting task,30984j2I,2021/9/3 20:38
A25BKQDK3GNQ8I,25-39,Female,Bachelors,11,6,nothing,940Q637j,2021/9/3 11:14
A2FGKKWP33DFWS,50-59,Male,Bachelors,19,3,,T1tBW7uO,2021/9/3 23:59
A2NC23YMQPXSYV,40-49,Female,Masters,21,4,I have enjoys to working this study.,JD41NMKd,2021/9/3 9:19
A2WVCXVSE0YGML,25-39,Male,Bachelors,21,5,"I had a really rough start, but then I started to get the hang of it towards the middle and end! That was challenging and fun, best of luck with your research!",lsj4E0m2,2021/9/3 6:28
A31PAV179FWFO7,25-39,Male,Bachelors,15,7,SOMETIMES I AM VERY MUCH CONFUSED THE DARK COLOR CHARTS MORE CONFUSED ME LIGHT COLOR IS EASY TO FIND,3891Y5jg,2021/9/3 20:21
A35WLQ74ZU5SYU,25-39,Male,Bachelors,21,7,,15J34a82,2021/9/3 3:04
A387GIYBDZMFSR,40-49,Female,Masters,23 or larger,6,Nice,24s8Tmez,2021/9/3 13:54
A38FQ6G2HIJE3,25-39,Male,Masters,13,7,,5nz70B32,2021/9/3 1:08
A3B5SP3Z7JQXJW,40-49,Female,Masters,21,7,it is very interesting and i get more information about this hit,0VT3pci2,2021/9/2 21:26
A3FMIKILLWS8N0,40-49,Female,Masters,13,2,good,Apgfwzd9,2021/9/2 22:51
A3GVUYY3TWRPZT,40-49,Female,Bachelors,15,4,,67k40W91,2021/9/3 0:52
A3IYP8B8O7X4ZR,40-49,Female,Masters,15,6,GOOD,P5NBtpe0,2021/9/3 21:34
A5Q5LI20O3G60,40-49,Female,Bachelors,23 or larger,6,Nice,mol3DG02,2021/9/3 12:02
AA5ZDXAA2DLY1,25-39,Female,High School,21,2,,408762lU,2021/9/3 0:16
AB345B0O3S9QT,18-25,Female,Masters,15,5,Nne,41fLbn3q,2021/9/3 0:00
ADWDNBND4BW94,25-39,Female,High School,13,2,,514EHI0y,2021/9/3 0:41
ALJVCLXTMKLE2,40-49,Male,Bachelors,11,6,nice,v5987U36,2021/9/3 13:02
AQJQK5FBJ7I5L,40-49,Female,Bachelors,21,6,Such a good study.,l93Virk0,2021/9/3 2:39
AX25HGXEV3CD3,25-39,Female,Bachelors,11,4,good,9WfVobYN,2021/9/3 0:56
OK,25-39,Female,Masters,13,5,GOOD,2ByfaokJ,2021/9/3 20:08
