5651.88,37,Sub-Saharan Africa
1047.17,45.45,Sub-Saharan Africa
1532.71,54.56,Sub-Saharan Africa
809.75,41.48,Sub-Saharan Africa
483.32,43.78,Sub-Saharan Africa
1635.98,45.94,Sub-Saharan Africa
798.3,56.48,Sub-Saharan Africa
1215.75,44.61,Sub-Saharan Africa
1894.29,47.72,Sub-Saharan Africa
897.41,43.83,Sub-Saharan Africa
2896.11,54.42,Sub-Saharan Africa
2367.24,46.99,Sub-Saharan Africa
860.36,39.74,Sub-Saharan Africa
490.38,43.3,Sub-Saharan Africa
539.88,42.93,Sub-Saharan Africa
9691.64,46.69,Sub-Saharan Africa
1197.15,48.89,Sub-Saharan Africa
733.71,39.16,Sub-Saharan Africa
809.41,37.2,Sub-Saharan Africa
1170.44,52.16,Sub-Saharan Africa
480.98,49.02,Sub-Saharan Africa
782.61,44.44,Sub-Saharan Africa
1784.13,43.84,Sub-Saharan Africa
488.72,40.56,Sub-Saharan Africa
559.07,37.51,Sub-Saharan Africa
1604.04,47.65,Sub-Saharan Africa
2292.46,62.2,Sub-Saharan Africa
693.12,39.23,Sub-Saharan Africa
3673.78,52.56,Sub-Saharan Africa
995.55,38.14,Sub-Saharan Africa
1542.25,40.37,Sub-Saharan Africa
4591.19,62.4,Sub-Saharan Africa
616.38,44.4,Sub-Saharan Africa
1550.8,55.49,Sub-Saharan Africa
1597.18,42.61,Sub-Saharan Africa
1425.83,35.97,Sub-Saharan Africa
1162.59,40.05,Sub-Saharan Africa
7668.61,52.82,Sub-Saharan Africa
1679.15,46.39,Sub-Saharan Africa
3111.99,48.01,Sub-Saharan Africa
877.54,46.69,Sub-Saharan Africa
1558.82,49.3,Sub-Saharan Africa
960.97,49.84,Sub-Saharan Africa
1722.48,48.99,Sub-Saharan Africa
720.26,54.86,Sub-Saharan Africa
833.32,35.03,South Asia
785,44.03,South Asia
835.91,40.58,South Asia
791,48.82,South Asia
699.73,49.87,South Asia
689.73,42.63,South Asia
1094,54.24,South Asia
1244.91,62.57,South Asia
4003.57,52.93,Middle East & North Africa
16484.34,61.66,Middle East & North Africa
3554.43,43.24,Middle East & North Africa
9511.46,57.98,Middle East & North Africa
10928.84,71.19,Middle East & North Africa
2147.05,54,Middle East & North Africa
110805.23,66.38,Middle East & North Africa
6827.41,64.73,Middle East & North Africa
26914.43,51.33,Middle East & North Africa
1869.14,51.56,Middle East & North Africa
10251.63,49.46,Middle East & North Africa
80244.5,60.47,Middle East & North Africa
19938.92,51.83,Middle East & North Africa
2199.31,53.69,Middle East & North Africa
13677.04,60.52,Middle East & North Africa
2931.07,54.02,Middle East & North Africa
1041.1,38.22,Middle East & North Africa
9212.3,66.61,America
4223.84,69.16,America
9712.48,68.52,America
2345.4,66.42,America
2869.46,45.77,America
4184.07,58.57,America
17487.46,72.65,America
5294.52,62.02,America
2987.81,60.87,America
4665.44,66.83,America
4854.33,69.88,America
4988.61,57.78,America
4301.25,56.58,America
2079.72,64.34,America
3700.25,52.05,America
2489.76,59.67,America
1530.69,47.2,America
2518.49,52.43,America
7416.69,68.32,America
6450.93,61.35,America
10117.71,69.35,America
4605.7,53.64,America
4976.35,65.35,America
2426.65,65.43,America
5823.86,53.46,America
8357.4,71.65,America
4958.82,63.31,America
6324.94,65.61,America
23345.77,70.92,America
5979.13,68.69,America
3066.02,66.98,Europe & Central Asia
15078.77,70.11,Europe & Central Asia
15379.71,70.97,Europe & Central Asia
2523.61,66.16,Europe & Central Asia
6162.47,71.27,Europe & Central Asia
8085.73,69.09,Europe & Central Asia
6323.94,70.77,Europe & Central Asia
16877.42,73.38,Europe & Central Asia
13162.25,70.36,Europe & Central Asia
15703.71,72.16,Europe & Central Asia
3613.63,67.44,Europe & Central Asia
17009.19,70.83,Europe & Central Asia
10150.88,71.68,Europe & Central Asia
9581.97,69.24,Europe & Central Asia
13532.84,73.81,Europe & Central Asia
8867.96,70.89,Europe & Central Asia
11788.23,71.66,Europe & Central Asia
5470.69,70.22,Europe & Central Asia
22298.67,69.58,Europe & Central Asia
4940.59,66.35,Europe & Central Asia
3765.12,69.98,Europe & Central Asia
6863.11,69,Europe & Central Asia
16036.47,73.6,Europe & Central Asia
16289,74.08,Europe & Central Asia
7076.39,69.87,Europe & Central Asia
7769.41,67.17,Europe & Central Asia
6729.78,68,Europe & Central Asia
9283.91,67.87,Europe & Central Asia
9121.12,69.74,Europe & Central Asia
10926.29,69.42,Europe & Central Asia
9469.63,72.24,Europe & Central Asia
18303,74.7,Europe & Central Asia
25862.82,73.14,Europe & Central Asia
3524.41,55.66,Europe & Central Asia
15154.18,72,Europe & Central Asia
16273.14,70.81,East Asia & Pacific
48558.11,66.69,East Asia & Pacific
472.62,43.63,East Asia & Pacific
685.35,62.65,East Asia & Pacific
2538.96,59.63,East Asia & Pacific
14559.83,60.11,East Asia & Pacific
7317.44,71.06,East Asia & Pacific
986.73,47.59,East Asia & Pacific
13374.86,72.07,East Asia & Pacific
2262,61.98,East Asia & Pacific
2141,59.16,East Asia & Pacific
8453.49,65.78,East Asia & Pacific
2587.36,61.3,East Asia & Pacific
3428.19,61.63,East Asia & Pacific
1339.74,52.6,East Asia & Pacific
724.44,51.46,East Asia & Pacific
31456.12,60.51,East Asia & Pacific
15150.93,71.33,East Asia & Pacific
1771.1,43.29,East Asia & Pacific
1893.6,57.24,East Asia & Pacific
6993.76,68.8,East Asia & Pacific
1266.6,54.24,East Asia & Pacific
3757,68.69,East Asia & Pacific
1477.26,59.39,East Asia & Pacific
641.06,48.82,East Asia & Pacific
